#Firma                                            Art      Vorw.     0130+
#-------------------------------------------------------------------------------
Arbeitsgesellschaft EDV im Mittelstand                              +861135
Arbeitskreis fuer Geophysik                                         +4188
Arbeitskreis Gesundheit - Aktionstelefon                            +2177
Arcus Logistic                                                      +811707
Aristo                                                              +857957
ARKUS-Rohrreinigung                                                 +830330
Ars Mundi Kunst Bestellung von Kunstdrucken                         +4771
Artemide Hotline                                                    +830311
Artz GmbH, Manfred, Oberhausen                                      +867070
ASB Einsatzzentrale                                                 +9101
Asche AG Arzneimittel mit Service                                   +3982
ASI Computer                                                        +824040
ASIX Technologie GmbH Ettlingen                                     +846688
Asr GmbH & Co KG Reise- und Serv.-Reserv. f. Hotel                  +2005
Associate Financial Service                                         +817122
AST Research Deutschland GmbH D'dorf Computer                       +866822
Astra Chemie                                                        +7337
Astron Hotel Frankfurt Airport                                      +3299
Async (?) (security code)                                           +817954
AT&T Calling Card Bestellung, Information                           +838888
AT&T language line services                             +81 54 50   +815464
AT&T Telefone / Anrufbeantworter                                    +866665
AT&T World Plus Service                                             +2345
Atelco Computer Center, Moehnesee                                   +115152
ATL PhoneMail                                                       +810823
Atlas Elektronik                                                    +4724
ATS Automatik Tuer Systeme Rheda Wiedenbrueck                       +6960
ATS Environement Services                             VM            +817127
ats Reisen Ait Touristik Service Herresthal GmbH                    +2955
Attachmate Corp. International Sales GmbH                           +3270
Audax Dentan GmbH Zentrale                                          +2311
Audi AG Informationsservice                           F             +822324
Audi AG Informationsservice                           V             +2324
Audi/VW Pannendienst 24h                                            +9900
Audioland Information "Villa"                                       +800337
Augsburger Aktienbank Eroeffnung Sparkonten                         +5052
Aurel Beauty Express                                                +2323
Auto Archivierungs GmbH                                             +845384
AutoDirekt Versicherung Oberursel                                   +862728
Autoglas GmbH                                                       +7066
Autoglas Service Center Kerpen GmbH                                 +842842
Autohansa Autovermietung GmbH Info und Buchung                      +5001
Autorent                                                            +818182
Autovermietung Seik GmbH                                            +4334
AvD Pannenhilve (Volvo incl. Service)                               +9909
Avia                                                                +4946
Avis Autovermietung GmbH int. Reservierungbuero                     +7733
Avis Detektive GmbH Wirtschaft- und Privatdetektei                  +821082
AVISA Gesellschaft fuer Medizin und Marketing mbH                   +822822
AVM                                                                 +860998
AVON Beratung                                                       +828585
AWA Couvert August Wegener GmbH & Co Briefumschlaege                +3371
Axis International am Wochenende AB                                 +811748
Axon Instruments Inc.                                               +810458
B.C. Venture B.V.                                                   +811214
Baader                                                              +812147
Bad Duerrheim Fremdenverkehrsamt                                    +6670
Badische Tabakmanufaktur Roth-Haendle GmbH (West)                   +5292
Badner Halle Rastatt Veranstaltungshinweise                         +835283
Bailey Shatkin Ltd.                                                 +6464
Bang & Olufsen                                                      +6657
Bank of America                                                     +810586
Bank of America                                                     +855561
Bank of America San Francisco (+1 415 622 3800)                     +852444
Bank of Copenhagen                                                  +810751
Barklay's Armed Forces Loan Department                              +811027
Barklay's Bank (+49  40  89 09 98 99)                               +2098
Barklay's Bank PLC                                                  +7212
Bartsch Verlag KG                                                   +6460
BASF                                                                +853035
BASIS e.V. (Anrufbeantworter)                                       +830903
Bauchweg Trainer (aus TV)                                           +817172
Bauer Versand Postlaufkontrolle                                     +5504
Bauhaus Kundendienst                                                +3905
Bauknecht GmbH Thermotechnik Vertrieb                               +7013
Bauku Troisdorfer Bau- u. Kunststoff GmbH                           +853803
Baumann & Bayer Software BusinessLine, Uhingen                      +856381
Baur GmbH Burgkunstadt                                              +2829
Bausch und Lomb Berlin (+49  30  33 09 32 50)                       +3093
Bausch und Lomb, Dental Division                                    +845313
Bax GmbH                                                            +2800
Bay(e)rische Versicherungskammer                                    +3333
Bay. Landesanstalt f. Wein- u. Gartenbau, Info-Tel.                 +819709
Bayer AG Leverkusen Auftragsannahme                                 +4848
Bayer AG Leverkusen Geschaeftsbereich                               +4335
Bayer AG Leverkusen Kundenservice 1                                 +3042
Bayer AG Leverkusen Kundenservice 2                                 +3052
Bayer AG Leverkusen Kundenservice 3                                 +3062
Bayer AG Leverkusen Pharmavertreter Deutschland Info                +3066
Bayer AG Leverkusen Veterinaer                                      +6494
Bayern Express                                                      +867022
Bayrische Aids Stiftung                                             +7078
Bayrische Versicherungsbank AG, Allianz                             +6886
Bayrische Versicherungskammer / Beamtenkrankenkasse                 +834911
Bayrisches Sozialministerium, Buergertelefon                        +857393
Bayrischr Rundfunk technische Information                           +818108
BBS AG schiltach Hotline                                            +860745
BBT                                                                 +2972
BBV Bundesweite Bargeld Vermittlung                                 +827282
Beate Uhse Versandhaus Flensburg                                    +866601
Beckmann Versand, Mittenwald                                        +857333
Beckmann Versand, Mittenwald                                        +857333
Bed and Breakfast USA                                               +811672
Benkiser                                                            +2238
Benni Kinder Service                                                +6166
Benzenmueller; Kamin, Dach, Wand                                    +844004
Bergland (?) Pharma Memmingen                                       +862727
Berisfort Capital MKTS                                              +810180
Berlin-Direkt Touristik GmbH                                        +2130
Berliner Bank AG Direktbank-Service                                 +3403
Berliner Bank AG VisaCard Service                                   +4660
Berolina Schriftbild Berlin                                         +3445
Bertelsmann                                                         +7172
Best Western International GmbH Reservierungen                      +4455
Bestellservice                                                      +4343
Betriebskrankenkasse Bosch                                          +5451
Betriebskrankenkasse des Landschaftsverbands Rheinland              +2232
Betriebskrankenkasse Moeller                                        +6068
BFBS Crime Line                                                     +852222
BFG / NCC                                                           +2101
BfG Bank AG (Gruppe Credit Lyonnais), Info UNITIME                  +0130
BfG Bank AG Infotelefon                                             +6226
BFK Bank                                                            +2901
BHA Group Voice-Mailbox                                             +819835
BHW Bank AG Hameln Service Telefon                                  +5410
BHW Bausparkasse Hameln Beratungstelefon                            +2928
BHW Dispo 2000                                                      +5242
Biffar Haus- und Wohnungstueren                                     +865656
Bild am Sonntag kostenloser Zustellservice                          +5054
Binfuerst Autotransport B.V.                                        +7745
Bio-H-Tin Informationsservice                                       +843349
Bioscientia Labor Ingelheim                                         +5959
Biotest AG Dreieich (+49  6103  80 14 60)                           +830010
Birkert Umzuege                                                     +839991
Bitte melde dich (Sat 1) Mo-Fr 9.30-18.00h sonst AB                 +2000
Bjurhagens Fabrikers AB                                             +811239
BKK Preussen Elektro                                                +3130
Black & Decker Rueckrufaktion                                       +864747
Blaupunkt Service Telefon                                           +836300
Blessing Robert Pfullingen (+49  7121  70 8-0)                      +2601
BMC Systems GmbH Duesseldorf                                        +819000
BMW AG Bereitschaftsdienst                                          +3332
BMW AG Bereitschaftsdienst Aussenstelle                      (073)  +812727
BMW AG Bereitschaftsdienst Aussenstelle                      (083)  +838485
BMW AG Bereitschaftsdienst Aussenstelle                      (096)  +815050
BMW AG Bereitschaftsdienst Aussenstelle              (080,081,089)  +816060
BMW AG Exclusiv-Service Gebrauchtwagen                              +9697
BMW AG Kundeninformation                                            +3250
BMW AG Vertrieb Mitteleuropa                          V             +3335
BMW AG Vertrieb Mitteleuropa Kundeninformation (089)415555          +3388
BMW-Magazin                                                         +837596
BNT                                                                 +852570
Boehringer Ingelheim Vetmedica GmbH                                 +4484
Boehringer Mannheim GmbH                                            +2225
Boehringer Mannheim GmbH                                            +2226
Boehringer Mannheim GmbH                                            +2228
Boehringer Mannheim GmbH Auftragsbearbeitung                        +5258
Boerseninformationssystem                                           +858787
Bolten Staatliche Lotterieeinnahme der NKL                          +3638
Bond Timing Services Inc.                                           +819094
Borek GmbH & Co                                                     +2008
Borek Richard Briefmarken Braunschweig                              +5550
Borland Bestellservice                                              +821343
Bornholms Traffiken (Faehrlinie)                                    +813200
Bosch Bllaupunkt Teleinfo                                           +836310
Bosch Dienst                                                        +5453
Bosch GmbH Robert Betriebskrankenkasse Stuttgart                    +4787
Bosch GmbH Robert Elektrowerkzeuge Kundenbetreuung                  +7903
Bosch GmbH Robert Kalenfeld                                         +5630
Bosch GmbH Robert Karlsruhe Kundenbetreuung                         +854009
Bosch GmbH Robert Prod. Bereich Fahrzeugantennen                    +7691
Bosch Transport V.D.                                                +9908
Bosch-Siemens Hausgeraete GmbH                                      +5858
Bose Infoservice                                                    +863912
Bose Lautsprecher                                                   +7104
Bostick                                    BBS DATA 1200/2400 8N1   +811949
BOTAG Berlin Servicetelefon                                         +3090
Botzenhardt GmbH Ottmar Fertigung Im-/Export Auftragsannahme        +7868
Bourgade Transport V.D.                                             +810426
BP                                                                  +6351
Breewel                                                             +4413
Brekdown Service Pannendienst Hertz                                 +4545
Brinkmann Katalog Bestellservice                                    +2426
Bristol-Myers Squibb GmbH Regensburg                                +7600
British Airways Ber Agts + Res Intercont                            +4747
British Airways Berlin-Fluege                                       +2580
British Airways Executive Club Service Center                       +840440
British Airways Gruppenreservierungen International                 +2486
British Airways Reservierungen International                        +3636
British Airways Telefonverkauf                                      +7678
Brits Rentals                                                       +810303
Broelemann ZENIT-Werke                                              +7474
Broersma & ZN BV                                                    +5541
Brunner Heinz GmbH                                                  +******
bst Schattschneider GmbH, Heilbronn                                 +848287
BSV-Bank                                                            +864811
Btitish TK                                                          +816276
BTS GmbH Bau und Installationssysteme                               +3400
Buderus Heiztechnik GmbH, zentraler Kundendienst Lollar             +857272
Budget Rent-a-car Help Desk                                         +811831
Buergertelefon Bauen & Wohnen Bundesm. f. Arbeit und Soz.           +6281
Buergertelefon Rente Bundesm. f. Arbei und Soz.                     +6280
Buero Kommunikations Arbeitsgemeinschaft GmbH                       +800508
Bully GmbH Volkmar Kraus                                            +7176
Bulthaup Kuechen                                                    +857353
Bulthaup Kuecheneinrichtungen Aichingen                             +852324
Bundesamt f. Strahlenschutz Salzgitter Info RADON                   +820708
Bundesbauministerium Info Wohnungskauf Ostdeutschl.                 +2555
Bundesgesundheitsministerium Buergertelefon                         +6282
Bundeskriminalamt BKA Wiesbaden                                     +7675
Bundesminister fuer Wirtschaft Europa '92                           +851992
Bundesministerium fuer Arbeit und soz. Ordnung Buergertel. +62 83 - +6289
Bundesweit Bargeld Vermittlung Wilh. Einhaus Hamm                   +4642
Bundeszentrale fuer gesundheitliche Aufklaerung - Pest-Infoline     +839639
Burda GmbH Abo-Service, Offenburg (Freundin)                        +4767
Burda Verlag Service (Probehenftanforderung)                        +5780
Burkhardt Systemservice fuer internationale Gebauede                +7500
Burson Marsteller GmbH                                              +5888
Bussink BV Internationaler Transport                                +9951
C.A.L.L. Amerikanischer Telefonservice (aehnl. AT&T                 +814611
CA Business Team                                                    +859490
Cable & Wireless (Overseas access number)                           +817976
CAI Computer Freiburg                                               +843324
Calbiochem GmbH Produktinformation und Bestellung                   +6931
Caldwell Banker                                                     +811484
California Parlor Car Tours                                         +810265
Camel                                                               +2627
Cameron Brooks Inc.                                                 +852267
Camping Union                                                       +811657
Canadian Airlines International Ltd. Reservierungen                 +5040
Capalbo Reality Inc.                                                +810635
Carbotex Farbband Cassetten Recycling                               +833411
Career Development                                                  +811459
Careful America                                                     +812069
Carma B.V.                                                          +856680
carpartner Autovermietung                                           +6789
Cartoon GmbH Triangle GmbH & Co. KG Neuss                           +827020
Cathay Pacific Airways Ltd.                                         +2244
Cavelier Motor Lodge                                                +811055
CC-Bank Servicetelefon                                              +4030
CCP Cordno Copier Products GmbH                                     +2421
CD-ROM SuperStore Computerhandels GmbH, Koeln                       +859406
Center Parcs Bestellservice Mo-Fr 10-20h                            +9933
Center Parcs Mo-Fr 9-18h                                            +5883
Center Parcs Urlaubsreisen                                          +6811
Century 21                                                          +811321
Century 21 All Star Realty                                          +810993
Century 21 Dees & Tyndall                                           +811076
Century 21 Prestige                                                 +811502
Century 21 Star Programm                                            +810846
Century 21 Weber & Howard Inc. Relations                            +811495
Century Autovermietung                                              +5530
Cetocor                                                             +810205
Chambers & Cook                                                     +811654
Channel 5 News                                                      +812190
Charge Card Company                                                 +5353
Charles Schwaben Company European Investment Center                 +817699
Chemie im Dialog (Verband der chemischen Industrie)                 +5599
CHG Duesseldorf                                                     +6061
CHG Duesseldorf, kostenloser Spanienvilla Katalog                   +6061
Chip Club                                                           +3325
Choice Hotels                                                       +855522
Christ Schmuck Uhrmacher Juwelier                                   +852285
Christ Spedition und Moebeltransport Stuttgart                      +814567
Christliche Reisen Oberammergau GmbH                                +9300
Cigahotels International Hotelverwaltung GmbH                       +9092
Circus Busch Roland                                                 +4182
Cita                                                                +4849
Citicorp Kreditkartengenehmigungen fuer VISA+DIME                   +2112
City Kurier Netionale und internationale Kurierdienst               +820022
Clear Blue Beratungstelefon                                         +863838
Co op Schlswg eG              (040-043,045-046,048,050-051,053,058) +3420
Coca Cola Verbraucherinformation                                    +7111
Colgate-Palmolive GmbH (galaxy, Softlan)                            +3329
Collecion M.R. Mueller & Co.                                        +854740
Colonia Betriebskrankenkasse Koeln                                  +3080
Colonia Versicherung, PC-Servicestelle                              +6901
Colonia Versicherungen                                              +3330
Colorado Memory Systems Europe Ltd.                                 +813861
Columbia Film                                                       +6968
Commerzbank Luxemburg, Ansage CBLUX                                 +831000
Commodore Computer Produktinformation                               +3210
Comoda GmbH Produktinfo mit Codenr.                  V/F            +822288
Compaq Computer Corp. Houston                                       +814723
Compaq Computer GmbH Info Line                                      +6868
CompuAdd-Versand Hamburg                                            +6009
Compuserve Customer Service Mo-Fr 9-20h                             +864643
Compuserve GmbH Registration                                        +3732
Computel Telefonservice GmbH Hamburg                                +800241
Computer aktuell Esslingen                                          +848888
Computer Assosiates Business Team Bestellservice                    +859490
Computer Remarketing Corp.                                          +810662
Computer Science Service                                            +812003
Computerwoche                                                       +827969
Comstock Fotoagentur, Berlin                                        +855353
Cona Aufzugservice                                                  +7580
Condor Flugdienst GmbH Verkauf                             +71 30   +9130
Confern Umzeuge                                                     +864788
Connecticut Machine Products                                        +812017
Conrad Electronic                                                   +2021
Conrad Global Tnt'l 800 Hotel Information                           +810136
Conrad Hotels (Hilton) Reservation Frankfurt/Main                   +818146
ConSors Discount-Broker                                             +840940
Containeranlagenbau Voegle                                          +830800
Continental                                                         +814142
Continental Airlines                                                +846464
Continental CTS-Service                                             +5335
Contra-Sport Tischtennis Servce Koschnick & Sohn                    +852995
Control Aider Custom Service                                        +819847
Convex Computer GmbH Zentrale Stoerungsannahme                      +9040
Coopers & Lybrand Deutsche Revision                                 +866869
Copam Elektronics GmbH Duesseldorf                                  +823323
Cordes Erkrath                                                      +4950
Corel Kundenservice                                                 +815074
Corporate Services                                                  +811395
Corsica & Sardinia Ferries                                          +815264
Cosmos Yachting                                                     +855000
Cotelli Cllection angebl. Nummer geaendert                         #+2266
Creative Computers                                                  +810466
CRO Optical                                          VM             +810307
Cryogenic Consultants                                F              +811263
CS Euroreal GmbH Hotline Immobilien-Fonds                           +826682
CS Investment Service                                               +5380
CTS Capital Trading Service                                         +827555
Customer's Service                                                  +810001
CW ReinigungsChemie                                                 +852722
C`NARIO Informationsprodukte GmbH                                   +2001
D&B Schimmelpfeng GmbH Inkassodienst                                +3556
D&B Schimmelpfeng GmbH Wirtschaftsinformationen                     +2685
D-Bestellung "Moods" und "Classical Panpipes"                       +4343
D.S. Colour                                                         +810897
D2 Privat Mannesmann Mobilfunk                                      +857903
DAB-Club live                                                       +6030
Daihatsu 24-Stunden Service                                         +829829
Dalau Limited                                                       +810894
Dan-Air Services Ltd. Reservierung                                  +7071
Data 2000 Datentechnik GmbH & Co. KG                                +825759
Data Covering Inc.                                                  +812019
Data Measurement Corp. (MFV)                                        +811859
DBP Telekom, Fax-Testcenter                                         +0160
DDN Network Information Center (Verbindung zu nic.ddn.mil)          +810253
De Dietrich (Fax zu -811702)                         F              +811703
De Dietrich Ersatzteillager, Reichshoffen            V              +811702
De Norske Hyttespesialistene A/S, Kristiansand, No                  +819977
Dean Weather                                                        +812201
DeBeukaeler Lu, Abt. Verkauf                                        +2152
DEC Digital Equipment, DEC direct, Unterfoehring                    +7778
DEC Digital Equipment, Gesch.ber. V.-partner (MFV)                  +7757
DEC Service Center, Muenchen                                        +7702
DECCA Klassic-CD-Bestellungen                                       +4443
Dell Computer Corp., Austin, Texas                   VM             +810450
Dell Computer GmbH Hotline                                          +3720
Dell Computer GmbH, fuer Grosskunden                                +3760
Dell Computer GmbH, fuer Kunden                                     +3710
Dell Computer Gmbh, fuer Software-/Systemhaeuser                    +3780
Dell Computer GmbH, Vertrieb (MFV)                                  +3790
Dell Computer, Customer Care Abteilung (MFV)                        +3740
Delphin-Reise-Club Betriebs GmbH                                    +4061
Delta Air Lines Inc. Reservierungen Flugauskunft Frankfurt          +2526
Delta Airlines (deutsch)                                            +4673
Der Reiseladen Hergenroeder GmbH                              (095) +868600
Der Spiegel - Verlag, Abnonnementen-Service                         +863006
Der Teeladen (Anforderung Prospekt mit Preisauss.)                  +838783
Detective Condor                                                    +828201
Detective Hartwig                                                   +804010
Detective InterDetect GmbH, Dorsten                                 +2151
Detective Kocks                                                     +827007
DeTex, Deutsche Textfunk GmbH, Darmstadt             F              +835835
Detia Freyberg GmbH, Laudenbach, Speditionsgewerbe                  +840008
Deutsche Anlagen Leasing GmbH                                       +4430
Deutsche Auto Leasing                                               +6933
Deutsche Auto Leasing                                               +6944
Deutsche Auto Leasing                                               +6955
Deutsche Auto Leasing                                               +6977
Deutsche Bank Betriebskrankenkasse                                  +2577
Deutsche Berufskleider- und Textil-Leasing GmbH                     +3455
Deutsche Bundesbahn Hausbrandversorgung                       (068) +811212
Deutsche Goodyear, Abt. Reifentechnik & Kundenserv                  +5131
Deutsche Hefewerke GmbH,Hamburg                                     +2949
Deutsche Land- und Seereisen                                        +866662
Deutsche Rettungsflugwacht                                          +860796
Deutsche Rettungsflugwacht e.V.                                     +9090
Deutsche Ser1 Service-Gesellschaft der Bahn mbH                     +2130
Deutsche Servicegesellschaft der Bahn mbH (DSG)                     +852130
Deutsche Zentrale fuer Wohnungstausch                               +864444
Deutscher Friseurverband, Infoservice                               +3553
Deutscher Lloyd, Notruf                              NR             +2219
Deutscher Muenzexpress                                              +847755
Deutsches allgemeines Sonntagsblatt, Probelieferung                 +857373
Deutsches Studentenwerk in Bonn Budentausch                         +4595
Deutschlandfunk - "Journal am Vormittag"                            +839601
DG Leasing Service 24                                               +5339
DHL Express-Fracht                                                  +4142
DHL Worldwide Express                                               +7227
Die Woche (Abo-Service)                                             +863999
Digital Kienzle                                                     +830383
Disc-Center Katalogbestellung (rund-um-die-Uhr)                     +3377
DIT Dresdner Bank Investment Service                                +823344
Dittmeyer GmbH ("Fragen zu Valensina / Ernaehrungsberatung")        +3314
DKF, Gesellsch. z. Dokument. klin. pharmakolog. Forschung mbH       +811415
DKH Deutsche Kredit- und Handelsbank AG                             +840200
DKV (Versicherung)                                                  +3100
DKV Pannennotruf Notdienst f.d. Gueterkraft- u.Busreiseverkehr  NR  +5333
DKV Service (Notruf)                                 NR             +2009
DKV Truck Service                                                   +4245
DOLLAR rent a car Muenchen                                          +2399
Domino Printing Systems Vertriebs GmbH Kundendiens                  +3776
Dorint Hotelgesellsch. mbH int. Reservierungsbuero                  +6605
Dow Chemical Handels- und Verwaltungsgesellschaft mbH               +5511
Dow Corning                                                         +7877
DPD Deutscher Paket Dienst                                          +4990
Dr. Bruno Lange GmbH                                                +5452
Dr. Grandel Gruppe, Augsburg                                        +3206
Dr. Lange GmbH, Duesseldorf, Bestellservice                         +2081
Dr. Oetker Versuchskueche, Backstudio                               +5015
Dr. Wilmer-Schwabel (?), Karlsruhe                                  +2761
Drei M Deutschland GmbH technischer Kundendienst                    +5450
Dresser GmbH Einbeck (+49 5561 794157)               AB             +6776
DSL-Software GmbH, Solingen                                         +861247
DT Dental Trading GmbH Bad Kissingen (Dentaltech.)                  +4646
Dt. Postreklame GmbH, Info ueber Service 190                        +808190
Duenki - Projekt                                                    +0456
Dugena Uhrenfachgeschaeft                                           +5254
DuPont                                                              +4265
DuPont                                                              +852842
DuPont de Nemours Hotline (Fotolabortechnik)                        +6701
DuPont Marketingservice                                             +2220
DuPont Pharma                                                       +4203
DuPont, Neu Isenburg, Abteilung Imaging-Systeme                     +862611
Duscholux-Info                                                      +822202
Dussmann GmbH & Co KG Alarmzentrale                                 +9797
E-Plus Info                                                         +2662
EB-Transport                                                        +810016
Echo Luxemburg - Helpdesk (Voice Life)                              +823456
Echo Luxemburg - Kommentare zu MAX                   V/F            +823337
Eckes AG, Nieder-Olm                                                +3554
ECS Exportexperten GmbH , Computer Systeme                          +2386
EDB Datenbankgesellschaft mbH                                       +5313
Edding Vertriebs-GmbH                                     (040,041) +7204
EDEKA GmbH                                                          +5250
Edelstahl Buderus (??)                                              +2714
EDF Security (?)                                                    +2155
Eduscho Anrufbeantworter                             AB             +6711
Eduscho Bestandsaufnahmzentrale                                     +6711
Eduscho Spezial-Service, Bremen                                     +2268
Effenberger, Brackenheim                                            +860756
EFI, USA                                                            +819568
Eglo (?) Leuchten                                                   +834567
Einsatzleitung fuer Rohrreinigung                                    +5049
Eisenhower National Bank, Ft. Sam Houston/Texas                     +859905
Eismann (Tiefkuehlkost)                                             +822424
Eitenbach (?) of North America (MFV)                                +819919
EKA-MAT Toiletten-Service-Zentrale, Dortmund                        +2522
EKV Transport                                                       +812011
EL AL Israel Airlines Reservierungs Service Ltg.                    +7670
ELAN/Reidt Service (DHL Express)                                    +2558
Elba Ordner Fabrik Kraut & Meyenborn GmbH & Co, Wuppertal           +3812
Electrolux Haushaltsgeraete (Rueckruf Geschirrsp.)                  +860103
Electronic Res. Lab, Test Equ.&Microw. Spec.(MFV)                   +811603
Elegance Rolf Offergelt GmbH Collection Aufragsannahme              +4393
Elektro-Innung Rastatt-Baden-Baden Notdienst                        +848485
Elektromontage Schmitt GmbH, Raiffeisenstr. 8, 97618 Hohenroth      +865858
elmex Beratungsservice                                              +856351
Elpro AG Energietechnik, O-1140 Berlin                              +838787
Elras (Bestell-Telefon)                                             +2480
EMC Corp. Corporate Office (MFV)                                    +817121
EMC Corperation                                                     +813362
Emirates Fluggesellschaft                                           +4414
EMS Kurierpost GmbH, Postfach 6000, 53 Bonn                         +823823
EMS-Anlagen (?), N.Y.                                               +819900
Endlosb. mit allen Impressi der 0190-Anb. (MFV)                     +800190
Era Wisenhunt Real Estate                                           +810928
Erd- und Kabelbau EKB GmbH Fernmeldemontage           (020-022,024) +6036
Erste Allgemeine Versicherung, Schadensaufnahme                     +5125
